"","X","chunkNo","seed","reps","n_bar","J","alpha","type","p","s","default","cov_x","scale","base_mean_x","sigma_x","mean_r","sigma_r","snr","mean_noise","sigma_noise","mean_adj_r_squared","mean_agreement","mean_y_rmse_fixed","mean_beta_rmse_fixed","mean_sensitivity_fixed","mean_specificity_fixed","mean_precision_fixed","mean_recall_fixed","mean_F1_fixed","mean_y_rmse_mixed","mean_beta_rmse_mixed","mean_sensitivity_mixed","mean_specificity_mixed","mean_precision_mixed","mean_recall_mixed","mean_F1_mixed","sd_adj_r_squared","sd_agreement","sd_y_rmse_fixed","sd_beta_rmse_fixed","sd_sensitivity_fixed","sd_specificity_fixed","sd_precision_fixed","sd_recall_fixed","sd_F1_fixed","sd_y_rmse_mixed","sd_beta_rmse_mixed","sd_sensitivity_mixed","sd_specificity_mixed","sd_precision_mixed","sd_recall_mixed","sd_F1_mixed"
"1046",1,48,1015,20,50,5,0.5,5,12,4,1,0.25,1,0,1,0,2,0.6,0,1,0.30024252624007,0.720833333333333,11.1119206812032,0.52021697190676,0.716666666666667,NA,1,0.716666666666667,0.828785303178896,10.9125446820431,0.62918259575208,0.979166666666667,NA,1,0.979166666666667,0.988509316770186,0.0356077155719429,0.121741145192365,2.5434077717337,0.103815643697032,0.127961982658319,NA,0,0.127961982658319,0.087471378076331,2.5511327105392,0.145750717278372,0.0596958666176149,NA,0,0.0596958666176149,0.0336766087647851
"1047",1,48,1065,20,50,5,0.5,1,12,4,1,0.25,1,0,1,0,2,0.8,0,1,0.372076347003895,0.6375,12.2868424069826,0.523097601923615,0.7875,0.4,0.408293650793651,0.7875,0.532004662004662,12.0780072170758,0.658697178737933,0.95,0.0375,0.316666666666667,0.95,NA,0.0318395040878484,0.138588857218137,2.39500833544604,0.121517231110256,0.186289955092649,0.184069494885406,0.119943503174619,0.186289955092649,0.130482786333521,2.35067046376336,0.158596483849527,0.223606797749979,0.167705098312484,0.074535599249993,0.223606797749979,NA
"1048",1,48,1115,20,50,5,0.5,2,12,4,1,0.25,1,0,1,0,2,0.8,0,1,0.374095428655381,0.733333333333333,10.6004545469392,0.477101582890509,0.875,0.35,0.416071428571429,0.875,0.559175824175824,10.4248662609893,0.580657075106995,1,0.0625,0.356363636363636,1,0.521904761904762,0.0557018827135556,0.131344820942069,2.91361949258706,0.14901310008865,0.172061800402921,0.227977376532248,0.106394046270979,0.172061800402921,0.12314840059753,2.88626301237019,0.200084179985084,0,0.17443517873109,0.0749681355795832,0,0.0679504041878156
"1049",1,48,1165,20,50,5,0.5,3,12,4,1,0.25,1,0,1,0,2,0.8,0,1,0.382063948949246,0.654166666666667,37.4182247329906,2.49863092128097,0.8,0.41875,0.42265873015873,0.8,0.546426906426906,36.8000182495974,2.64523063821025,1,0.0125,0.336363636363636,1,0.503333333333333,0.0448423275263598,0.146286888685109,9.05092744111884,0.707244847250211,0.153896752812773,0.211802260064479,0.100991878014778,0.153896752812773,0.104067597181155,8.88804330384453,0.80820636385464,0,0.0384741882031933,0.00932707592804686,0,0.0102597835208515
"1050",1,48,1215,20,50,5,0.5,4,12,4,1,0.25,1,0,1,0,2,0.8,0,1,0.159559501339545,0.633333333333333,18.3162489993561,3.08728263194851,0.875,0.61875,0.61758658008658,0.875,0.686626984126984,17.9059281463876,2.8084290074554,0.925,0.15625,0.38961038961039,0.925,0.520844155844156,0.0390674807747875,0.218648159251021,0.910443570684229,0.341329295343764,0.190221477563171,0.330656742830004,0.219899256398904,0.190221477563171,0.150621519369059,0.733773437323493,0.410172096087892,0.14281014264437,0.277663536449575,0.158556931650244,0.14281014264437,0.0647219522560313
"1051",1,48,1265,20,50,5,0.5,5,12,4,1,0.25,1,0,1,0,2,0.8,0,1,0.371622751636583,0.758333333333333,11.0508244032371,0.507520809417182,0.75,NA,1,0.75,0.854011709114684,10.8842915242465,0.590511236622671,0.991666666666667,NA,1,0.991666666666667,0.995652173913044,0.0513084754722869,0.0892627372272996,4.39758349022791,0.138477786607544,0.0936585811581694,NA,0,0.0936585811581694,0.0617108748033683,4.38393200840069,0.195995762240355,0.0256494588021289,NA,0,0.0256494588021289,0.0133823263315455
"1052",1,48,1315,20,50,5,0.5,1,12,4,1,0.25,1,0,1,0,2,1,0,1,0.433368066377635,0.683333333333333,10.6696116393937,0.506195585869643,0.8625,0.40625,0.422050865800866,0.8625,0.562148684648685,10.4582433856616,0.61547931442004,1,0,0.333333333333333,1,0.5,0.0464737778470002,0.139443337755679,3.47794176934181,0.114719344294061,0.206394486870474,0.161586501194936,0.0884254840987011,0.206394486870474,0.118667293377425,3.43841867264835,0.179393382640474,0,0,0,0,0
"1053",1,48,1365,20,50,5,0.5,2,12,4,1,0.25,1,0,1,0,2,1,0,1,0.3999911162757,0.7625,8.68219322985485,0.409327346527407,0.9625,0.3375,0.426628787878788,0.9625,0.588782883782884,8.52973206222559,0.462424471798047,0.9875,0.06875,0.351515151515152,0.9875,0.516410256410256,0.050867510148037,0.112374036043066,2.23422678797988,0.0956720569862335,0.0915868871331308,0.1467857371531,0.0611230627823101,0.0915868871331308,0.0659137422353762,2.19749172158304,0.10844805512385,0.0559016994374947,0.159537778070208,0.0512282092073087,0.0559016994374947,0.0526957634862054
"1054",1,48,1415,20,50,5,0.5,3,12,4,1,0.25,1,0,1,0,2,1,0,1,0.438949762340169,0.720833333333333,32.7219532138168,2.18665369307359,0.85,0.3625,0.407175324675325,0.85,0.546899766899767,32.2254581038435,2.33503190454426,1,0.01875,0.337878787878788,1,0.505,0.0438809975463361,0.1247072595513,7.95861844562869,0.454953617744551,0.14956076040403,0.17631087974311,0.0775929001709329,0.14956076040403,0.0924390055628547,7.80189929295505,0.518145191794473,0,0.0457934435665654,0.0111014408646219,0,0.0122115849510841
"1055",1,48,1465,20,50,5,0.5,4,12,4,1,0.25,1,0,1,0,2,1,0,1,0.18422836941651,0.6625,17.0874609910411,2.88171539463193,0.925,0.575,0.548856421356421,0.925,0.674891497391497,16.7849256304959,2.60756697397666,0.975,0.11875,0.363131313131313,0.975,0.525815850815851,0.0429811688490645,0.158748302012377,0.634093717128105,0.269871469100545,0.14281014264437,0.212287044997297,0.121363174429279,0.14281014264437,0.0995756379718865,0.589536028457631,0.224061226819506,0.0769483764063866,0.183510181848597,0.0584619950446756,0.0769483764063866,0.0565398323314854
